125 100 3 7 4
(2, 20, 4, 10.00), (code 2)
(3, 90, 0, 10.00), (code 1)
(4, 160, 6, 10.00), (code 0)
START
2865849, 1, 1
2865852, 2, 1
2865971, 0, 0
2865974, 1, 0
2865977, 2, 1
2866096, 0, 1
2866099, 1, 0
2866102, 2, bit 1
2866102, 2, 0
2866221, 0, 1
2866224, 1, bit 0
2866224, 1, 1
2866227, 2, 1
2866347, 0, 0
2866349, 1, 0
2866352, 2, 1
2866472, 0, 0
2866475, 1, 1
2866477, 2, 1
2866597, 0, 1
2866600, 1, 0
2866603, 2, 1
2866722, 0, bit 1
2866722, 0, 1
2866725, 1, 1
2866728, 2, 0
2866847, 0, 0
2866850, 1, 0
2866853, 2, 0
2866972, 0, 1
2866975, 1, 0
2866978, 2, bit 1
2866978, 2, 0
2867097, 0, 1
2867100, 1, bit 0
2867100, 1, 1
2867103, 2, 1
2867222, 0, 0
2867225, 1, 0
2867228, 2, 1
2867347, 0, 0
2867350, 1, 1
2867353, 2, 1
2867472, 0, 1
2867475, 1, 0
2867478, 2, 1
2867597, 0, bit 1
2867597, 0, 1
2867600, 1, 1
2867603, 2, 0
2867722, 0, 0
2867725, 1, 0
2867728, 2, 0
2867847, 0, 1
2867850, 1, 0
2867853, 2, bit 1
2867853, 2, 0
2867972, 0, 1
2867975, 1, bit 0
2867975, 1, 1
2867978, 2, 1
2868097, 0, 0
2868100, 1, 0
2868103, 2, 1
2868222, 0, 0
2868225, 1, 1
2868228, 2, 1
2868347, 0, 1
2868350, 1, 0
2868353, 2, 1
2868472, 0, bit 0
2868472, 0, 0
2868475, 1, 1
2868478, 2, 0
2868597, 0, 1
2868600, 1, 0
2868603, 2, 0
2868722, 0, 0
2868725, 1, 0
2868728, 2, bit 1
2868728, 2, 0
2868847, 0, 0
2868850, 1, bit 0
2868850, 1, 1
2868853, 2, 1
2868972, 0, 1
2868975, 1, 0
2868978, 2, 1
2869097, 0, 1
2869100, 1, 1
2869103, 2, 1
2869222, 0, 0
2869225, 1, 0
2869228, 2, 1
2869347, 0, bit 1
2869347, 0, 1
2869350, 1, 1
2869353, 2, 0
2869472, 0, 0
2869475, 1, 0
2869478, 2, 0
2869597, 0, 1
2869600, 1, 0
2869603, 2, bit 1
2869603, 2, 0
2869722, 0, 1
2869725, 1, bit 0
2869725, 1, 1
2869728, 2, 1
2869847, 0, 0
2869850, 1, 0
2869853, 2, 1
2869972, 0, 0
2869975, 1, 1
2869978, 2, 1
2870097, 0, 1
2870100, 1, 0
2870103, 2, 1
2870222, 0, bit 1
2870222, 0, 1
2870225, 1, 1
2870228, 2, 0
2870347, 0, 0
2870350, 1, 0
2870353, 2, 0
2870472, 0, 1
2870475, 1, 0
2870478, 2, bit 0
2870478, 2, 1
2870597, 0, 1
2870600, 1, bit 0
2870600, 1, 1
2870603, 2, 0
2870722, 0, 0
2870725, 1, 0
2870728, 2, 0
2870847, 0, 0
2870850, 1, 1
2870853, 2, 0
2870972, 0, 1
2870975, 1, 0
2870978, 2, 0
2871097, 0, bit 0
2871097, 0, 0
2871100, 1, 1
2871103, 2, 1
2871222, 0, 1
2871225, 1, 0
2871228, 2, 1
2871347, 0, 0
2871350, 1, 0
2871353, 2, bit 0
2871353, 2, 1
2871472, 0, 0
2871475, 1, bit 0
2871475, 1, 1
2871478, 2, 0
2871597, 0, 1
2871600, 1, 0
2871603, 2, 0
2871723, 0, 1
2871725, 1, 1
2871728, 2, 0
2871848, 0, 0
2871851, 1, 0
2871853, 2, 0
2871973, 0, bit 1
2871973, 0, 1
2871976, 1, 1
2871979, 2, 1
2872098, 0, 0
2872101, 1, 0
2872104, 2, 1
2872223, 0, 1
2872226, 1, 0
2872229, 2, bit 1
2872229, 2, 0
2872348, 0, 1
2872351, 1, bit 1
2872351, 1, 0
2872354, 2, 1
2872473, 0, 0
2872476, 1, 1
2872479, 2, 1
2872598, 0, 0
2872601, 1, 0
2872604, 2, 1
2872723, 0, 1
2872726, 1, 1
2872729, 2, 1
2872848, 0, bit 0
2872848, 0, 0
2872851, 1, 0
2872854, 2, 0
2872973, 0, 1
2872976, 1, 1
2872979, 2, 0
2873098, 0, 0
2873101, 1, 1
2873104, 2, bit 1
2873104, 2, 0
2873223, 0, 0
2873226, 1, bit 1
2873226, 1, 0
2873229, 2, 1
2873348, 0, 1
2873351, 1, 1
2873354, 2, 1
2873473, 0, 1
2873476, 1, 0
2873479, 2, 1
2873598, 0, 0
2873601, 1, 1
2873604, 2, 1
2873723, 0, bit 0
2873723, 0, 0
2873726, 1, 0
2873729, 2, 0
2873848, 0, 1
2873851, 1, 1
2873854, 2, 0
2873973, 0, 0
2873976, 1, 1
2873979, 2, bit 0
2873979, 2, 1
2874098, 0, 0
2874101, 1, bit 1
2874101, 1, 0
2874104, 2, 0
2874223, 0, 1
2874226, 1, 1
2874229, 2, 0
2874348, 0, 1
2874351, 1, 0
2874354, 2, 0
2874473, 0, 0
2874476, 1, 1
2874479, 2, 0
2874598, 0, bit 0
2874598, 0, 0
2874601, 1, 0
2874604, 2, 1
2874723, 0, 1
2874726, 1, 1
2874729, 2, 1
2874848, 0, 0
2874851, 1, 1
2874854, 2, bit 0
2874854, 2, 1
2874973, 0, 0
2874976, 1, bit 1
2874976, 1, 0
2874979, 2, 0
2875098, 0, 1
2875101, 1, 1
2875104, 2, 0
2875223, 0, 1
2875226, 1, 0
2875229, 2, 0
2875348, 0, 0
2875351, 1, 1
2875354, 2, 0
2875473, 0, bit 1
2875473, 0, 1
2875476, 1, 0
2875479, 2, 1
2875598, 0, 0
2875601, 1, 1
2875604, 2, 1
2875723, 0, 1
2875726, 1, 1
2875729, 2, bit 1
2875730, 2, 0
2875848, 0, 1
2875851, 1, bit 0
2875851, 1, 1
2875854, 2, 1
2875973, 0, 0
2875976, 1, 0
2875979, 2, 1
2876098, 0, 0
2876101, 1, 1
2876104, 2, 1
2876223, 0, 1
2876226, 1, 0
2876229, 2, 1
2876348, 0, bit 0
2876348, 0, 0
2876351, 1, 1
2876354, 2, 0
2876473, 0, 1
2876476, 1, 0
2876479, 2, 0
2876598, 0, 0
2876601, 1, 0
2876604, 2, bit 0
2876604, 2, 1
2876723, 0, 0
2876726, 1, bit 0
2876726, 1, 1
2876729, 2, 0
2876848, 0, 1
2876851, 1, 0
2876854, 2, 0
2876973, 0, 1
2876976, 1, 1
2876979, 2, 0
2877099, 0, 0
2877101, 1, 0
2877104, 2, 0
2877224, 0, bit 1
2877224, 0, 1
2877227, 1, 1
2877229, 2, 1
2877349, 0, 0
2877352, 1, 0
2877355, 2, 1
2877474, 0, 1
2877477, 1, 0
2877480, 2, bit 0
2877480, 2, 1
2877599, 0, 1
2877602, 1, bit 1
2877602, 1, 0
2877605, 2, 0
2877724, 0, 0
2877727, 1, 1
2877730, 2, 0
2877849, 0, 0
2877852, 1, 0
2877855, 2, 0
2877974, 0, 1
2877977, 1, 1
2877980, 2, 0
2878099, 0, bit 0
2878099, 0, 0
2878102, 1, 0
2878105, 2, 1
2878224, 0, 1
2878227, 1, 1
2878230, 2, 1
2878349, 0, 0
2878352, 1, 1
2878355, 2, bit 0
2878355, 2, 1
2878474, 0, 0
2878477, 1, bit 1
2878477, 1, 0
2878480, 2, 0
2878599, 0, 1
2878602, 1, 1
2878605, 2, 0
2878724, 0, 1
2878727, 1, 0
2878730, 2, 0
2878849, 0, 0
2878852, 1, 1
2878855, 2, 0
2878974, 0, bit 1
2878974, 0, 1
2878977, 1, 0
2878980, 2, 1
2879099, 0, 0
2879102, 1, 1
2879105, 2, 1
2879224, 0, 1
2879227, 1, 1
2879230, 2, bit 0
2879230, 2, 1
2879349, 0, 1
2879352, 1, bit 1
2879352, 1, 0
2879355, 2, 0
2879474, 0, 0
2879477, 1, 1
2879480, 2, 0
2879599, 0, 0
2879602, 1, 0
2879605, 2, 0
2879724, 0, 1
2879727, 1, 1
2879730, 2, 0
2879849, 0, bit 0
2879849, 0, 0
2879852, 1, 0
2879855, 2, 1
2879974, 0, 1
2879977, 1, 1
2879980, 2, 1
2880099, 0, 0
2880102, 1, 1
2880105, 2, bit 0
2880105, 2, 1
2880224, 0, 0
2880227, 1, bit 0
2880227, 1, 1
2880230, 2, 0
2880349, 0, 1
2880352, 1, 0
2880355, 2, 0
2880474, 0, 1
2880477, 1, 1
2880480, 2, 0
2880599, 0, 0
2880602, 1, 0
2880605, 2, 0
2880724, 0, bit 1
2880724, 0, 1
2880727, 1, 1
2880730, 2, 1
2880849, 0, 0
2880852, 1, 0
2880855, 2, 1
2880974, 0, 1
2880977, 1, 0
2880980, 2, bit 0
2880980, 2, 1
2881099, 0, 1
2881102, 1, bit 1
2881102, 1, 0
2881105, 2, 0
2881224, 0, 0
2881227, 1, 1
2881230, 2, 0
2881349, 0, 0
2881352, 1, 0
2881355, 2, 0
2881474, 0, 1
2881477, 1, 1
2881480, 2, 0
2881599, 0, bit 0
2881599, 0, 0
2881602, 1, 0
2881605, 2, 1
2881724, 0, 1
2881727, 1, 1
2881730, 2, 1
2881849, 0, 0
2881852, 1, 1
2881855, 2, bit 0
2881855, 2, 1
2881974, 0, 0
2881977, 1, bit 1
2881977, 1, 0
2881980, 2, 0
2882099, 0, 1
2882102, 1, 1
2882105, 2, 0
2882224, 0, 1
2882227, 1, 0
2882230, 2, 0
2882349, 0, 0
2882352, 1, 1
2882355, 2, 0
2882475, 0, bit 0
2882475, 0, 0
2882477, 1, 0
2882480, 2, 1
2882600, 0, 1
2882603, 1, 1
2882605, 2, 1
2882725, 0, 0
2882728, 1, 1
2882731, 2, bit 1
2882731, 2, 0
2882850, 0, 0
2882853, 1, bit 1
2882853, 1, 0
2882856, 2, 1
2882975, 0, 1
2882978, 1, 1
2882981, 2, 1
2883100, 0, 1
2883103, 1, 0
2883106, 2, 1
2883225, 0, 0
2883228, 1, 1
2883231, 2, 1
2883350, 0, bit 1
2883350, 0, 1
2883353, 1, 0
2883356, 2, 0
2883475, 0, 0
2883478, 1, 1
2883481, 2, 0
2883600, 0, 1
2883603, 1, 1
2883606, 2, bit 1
2883606, 2, 0
2883725, 0, 1
2883728, 1, bit 0
2883728, 1, 1
2883731, 2, 1
2883850, 0, 0
2883853, 1, 0
2883856, 2, 1
2883975, 0, 0
2883978, 1, 1
2883981, 2, 1
2884100, 0, 1
2884103, 1, 0
2884106, 2, 1
2884225, 0, bit 0
2884225, 0, 0
2884228, 1, 1
2884231, 2, 0
2884350, 0, 1
2884353, 1, 0
2884356, 2, 0
2884475, 0, 0
2884478, 1, 0
2884481, 2, bit 0
2884481, 2, 1
2884600, 0, 0
2884603, 1, bit 1
2884603, 1, 0
2884606, 2, 0
2884725, 0, 1
2884728, 1, 1
2884731, 2, 0
2884850, 0, 1
2884853, 1, 0
2884856, 2, 0
2884975, 0, 0
2884978, 1, 1
2884981, 2, 0
2885100, 0, bit 0
2885100, 0, 0
2885103, 1, 0
2885106, 2, 1
2885225, 0, 1
2885228, 1, 1
2885231, 2, 1
2885350, 0, 0
2885353, 1, 1
2885356, 2, bit 0
2885357, 2, 1
2885475, 0, 0
2885478, 1, bit 0
2885478, 1, 1
2885481, 2, 0
2885600, 0, 1
2885603, 1, 0
2885606, 2, 0
2885725, 0, 1
2885728, 1, 1
2885731, 2, 0
2885850, 0, 0
2885853, 1, 0
2885856, 2, 0
2885975, 0, bit 0
2885975, 0, 0
2885978, 1, 1
2885981, 2, 1
2886100, 0, 1
2886103, 1, 0
2886106, 2, 1
2886225, 0, 0
2886228, 1, 0
2886231, 2, bit 0
2886231, 2, 1
2886350, 0, 0
2886353, 1, bit 0
2886353, 1, 1
2886356, 2, 0
2886475, 0, 1
2886478, 1, 0
2886481, 2, 0
2886600, 0, 1
2886603, 1, 1
2886606, 2, 0
2886725, 0, 0
2886728, 1, 0
2886731, 2, 0
2886850, 0, bit 0
2886850, 0, 0
2886853, 1, 1
2886856, 2, 1
2886975, 0, 1
2886978, 1, 0
2886981, 2, 1
2887100, 0, 0
2887103, 1, 0
2887106, 2, bit 1
2887106, 2, 0
2887225, 0, 0
2887228, 1, bit 0
2887228, 1, 1
2887231, 2, 1
2887350, 0, 1
2887353, 1, 0
2887356, 2, 1
2887475, 0, 1
2887478, 1, 1
2887481, 2, 1
2887600, 0, 0
